FIGHTER,SIG_STR_ratio,SIG_STR_pct,TOTAL_STR_ratio,TD_ratio,TD_pct,SUB.ATT,REV.,CTRL_seconds,HEAD_ratio,BODY_ratio,LEG_ratio,DISTANCE_ratio,CLINCH_ratio,GROUND_ratio
Stefan Struve,0.44900203441426223,0.44565217391304346,0.4874144309910573,0.13043478260869565,0.13043478260869565,21.0,6.0,1216,0.3024282511259316,0.5472792304314044,0.5822872398387272,0.42128370463466086,0.25905797101449274,0.1566770186335404
Stephan Bonnar,0.41117929203625886,0.4072972972972973,0.5683150157806925,0.259009009009009,0.2583783783783784,13.0,3.0,3569,0.32376611639763536,0.5786991536991537,0.3905190905190905,0.2570365156307341,0.4156699859331438,0.3194503407738702
Stephanie Egger,0.4833869868760607,0.4776923076923077,0.602789468657945,0.3935897435897436,0.3930769230769231,2.0,2.0,945,0.40469094248818904,0.3923076923076923,0.5120879120879122,0.32306945927635583,0.458974358974359,0.42063492063492064
Stephen Bass,0.5431216931216931,0.54,0.5575318401405358,0.0,0.0,0.0,0.0,24,0.3954248366013072,0.9259259259259259,0.8333333333333334,0.4873388260485035,0.6666666666666666,0.3333333333333333
Stephen Thompson,0.4523046801231649,0.44783333333333336,0.4981085892542362,0.047222222222222214,0.04716666666666667,0.0,1.0,1132,0.35813726112168853,0.6574273411773411,0.7555158730158731,0.43504815028480237,0.34369047619047616,0.1649074074074074
Steve Berger,0.11621621621621621,0.11499999999999999,0.5078262786596119,0.05555555555555555,0.055,3.0,1.0,93,0.0794871794871795,0.13333333333333333,0.16666666666666666,0.06666666666666667,0.08730158730158731,0.0
Steve Bosse,0.40965277777777775,0.404,0.43756917837377607,0.1,0.1,0.0,0.0,163,0.37358012170385396,0.5166666666666667,0.5666666666666667,0.38994962704640124,0.5333333333333333,0.11891891891891893
Steve Bruno,0.3760198135198135,0.37375,0.6460829160519563,0.265625,0.265,1.0,0.0,392,0.2805059523809524,0.41666666666666663,0.3601190476190476,0.3713141025641026,0.2589285714285714,0.125
Steve Byrnes,0.47575757575757577,0.47333333333333333,0.6592592592592593,0.6666666666666666,0.6666666666666666,4.0,1.0,538,0.4553872053872054,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.36742424242424243
Steve Cantwell,0.3188986430469819,0.314375,0.3432136471828108,0.14583333333333331,0.145625,3.0,0.0,187,0.197718676765474,0.6548932878267244,0.7105113636363636,0.2869511180785312,0.45212339743589747,0.13541666666666666
Steve Erceg,0.5060257003142282,0.5023076923076923,0.5288375578354256,0.13076923076923078,0.13076923076923078,2.0,2.0,515,0.41997009891464115,0.6684926184926184,0.823076923076923,0.4567814993506238,0.5347319347319347,0.28846153846153844
Steve Garcia,0.5314621101268026,0.5266666666666667,0.6399818946834176,0.20833333333333334,0.20833333333333334,2.0,0.0,519,0.49731056616068053,0.6895833333333333,0.5,0.494744560677055,0.3541666666666667,0.6401038372338183
Steve Jennum,0.2901515151515151,0.2866666666666667,0.48424908424908425,0.5555555555555555,0.5533333333333333,1.0,0.0,0,0.3021885521885522,0.0,0.0,0.16666666666666666,0.0,0.31263616557734203
Steve Judson,0.25925925925925924,0.255,0.2916666666666667,0.0,0.0,0.0,0.0,19,0.22916666666666666,0.5,0.0,0.0,0.3181818181818182,0.0
Steve Kennedy,0.3422194727934766,0.3375,0.4065443919589897,0.3333333333333333,0.3325,0.0,0.0,292,0.29033130847646976,0.29166666666666663,0.6666666666666666,0.32924731182795697,0.0,0.29166666666666663
Steve Lopez,0.23910944742863247,0.23600000000000004,0.39742374483753795,0.0,0.0,0.0,0.0,0,0.11354365079365078,0.21666666666666665,0.32666666666666666,0.2392135642135642,0.0,0.16666666666666666
Steve Montgomery,0.35274643565291286,0.35,0.39703869047619045,0.0,0.0,0.0,0.0,2,0.27239350556544695,0.8865079365079365,0.375,0.29361163820366853,0.7028508771929824,0.375
Steve Nelmark,0.90625,0.905,0.9534883720930232,0.5,0.5,1.0,0.0,0,0.9,1.0,0.0,0.75,1.0,0.4230769230769231
Steve Steinbeiss,0.5944613112109187,0.5875,0.7189758497316636,0.0,0.0,0.0,0.0,322,0.3605778279691323,0.8777777777777778,0.45833333333333337,0.4327302631578947,0.6077898550724637,0.0
Steve Vigneault,0.46153846153846156,0.46,0.5333333333333333,0.0,0.0,0.0,0.0,13,0.14285714285714285,0.5,1.0,0.14285714285714285,0.8333333333333334,0.0
Steven Graham,0.0,0.0,0.5,0.5,0.5,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
